_id,t,o
AFG_MUS,0.000,0.730
AFG_MWI,0.000,1.329
AFG_MYS,0.000,0.808
AFG_MYT,0.000,n.a.
AFG_NAM,0.000,1.027
AFG_NCL,0.000,0.909
AFG_NER,0.000,1.339
AFG_NFK,0.000,n.a.
AFG_NGA,0.000,1.213
AFG_NIC,0.000,1.157
AFG_NIU,0.000,n.a.
AFG_NLD,0.000,0.918
AFG_NOR,0.000,0.942
AFG_NPL,0.000,2.024
AFG_NRU,0.000,0.841
AFG_NZL,0.000,1.144
AFG_OMN,0.000,1.083
AFG_PAK,0.000,1.212
AFG_PAN,0.000,0.999
AFG_PER,0.000,1.404
AFG_PHL,0.000,0.915
AFG_PLW,0.000,0.782
AFG_PNG,0.000,0.885
AFG_POL,0.000,1.085
AFG_PRI,0.000,0.903
AFG_PRK,0.000,1.054
AFG_PRT,0.000,0.844
AFG_PRY,0.000,1.450
AFG_PSE,0.000,0.727
AFG_PYF,0.000,0.921
AFG_QAT,0.000,0.669
AFG_REU,0.000,n.a.
AFG_ROU,0.000,0.894
AFG_RUS,0.000,0.922
AFG_RWA,0.000,1.182
AFG_SAU,0.000,1.140
AFG_SDN,0.000,1.197
AFG_SEN,0.000,0.906
AFG_SGP,0.000,0.719
AFG_SHN,0.000,n.a.
AFG_SLB,0.000,0.846
AFG_SLE,0.000,0.966
AFG_SLV,0.000,0.994
AFG_SMR,0.000,0.880
AFG_SOM,0.000,0.953
AFG_SPM,0.000,n.a.
AFG_SRB,0.000,0.940
AFG_STP,0.000,0.878
AFG_SUR,0.000,0.954
AFG_SVK,0.000,0.974
AFG_SVN,0.000,0.815
AFG_SWE,0.000,1.087
AFG_SWZ,0.000,0.881
AFG_SYC,0.000,0.696
AFG_SYR,0.000,0.866
AFG_TCA,0.000,0.912
AFG_TCD,0.000,1.504
AFG_TGO,0.000,0.928
AFG_THA,0.000,0.837
AFG_TJK,0.000,1.612
AFG_TKL,0.000,n.a.
AFG_TKM,0.000,1.855
AFG_TLS,0.000,0.848
AFG_TON,0.000,0.879
AFG_TTO,0.000,0.905
AFG_TUN,0.000,0.820
AFG_TUR,0.000,1.004
AFG_TUV,0.000,0.863
AFG_TWN,0.000,n.a.
AFG_TZA,0.000,0.870
AFG_UGA,0.000,1.155
AFG_UKR,0.000,0.847
AFG_URY,0.000,1.229
AFG_USA,0.000,1.851
AFG_UZB,0.000,1.996
AFG_VCT,0.000,0.902
AFG_VEN,0.000,1.079
AFG_VGB,0.000,0.902
AFG_VIR,0.000,0.903
AFG_VNM,0.000,1.330
AFG_VUT,0.000,0.854
AFG_WLF,0.000,n.a.
AFG_WSM,0.000,0.879
AFG_YEM,0.000,0.871
AFG_ZAF,0.000,1.082
AFG_ZMB,0.000,1.449
AFG_ZWE,0.000,1.280
AGO_ABW,0.000,0.709
AGO_AFG,0.000,1.345
AGO_AIA,0.000,n.a.
AGO_ALB,0.000,0.822
AGO_AND,0.000,0.851
AGO_ANT,0.000,n.a.
AGO_ARE,0.000,0.879
AGO_ARG,0.000,1.380
AGO_ARM,0.000,1.047
AGO_ASM,0.000,0.901
AGO_ATG,0.000,0.699
AGO_AUS,0.000,1.144
AGO_AUT,0.000,0.940
AGO_AZE,0.000,1.198
AGO_BDI,0.000,1.160
AGO_BEL,0.000,0.780
AGO_BEN,0.000,0.675
AGO_BFA,0.000,0.996
AGO_BGD,0.000,1.169
AGO_BGR,0.000,0.942
AGO_BHR,0.000,0.768
AGO_BHS,0.000,0.730
AGO_BIH,0.000,0.824
AGO_BLR,0.000,0.984
AGO_BLZ,0.000,0.789
AGO_BMU,0.000,0.703
AGO_BOL,0.000,1.699
AGO_BRA,0.000,1.169
AGO_BRB,0.000,0.693
AGO_BRN,0.000,0.804
AGO_BTN,0.000,1.169
AGO_BWA,0.000,1.021
AGO_CAF,0.000,1.106
AGO_CAN,0.000,1.233
AGO_CHE,0.000,0.924
AGO_CHL,0.000,0.874
AGO_CHN,0.000,1.480
AGO_CIV,0.000,0.756
AGO_CMR,0.000,0.764
AGO_COD,0.000,0.678
AGO_COG,0.000,0.791
AGO_COK,0.000,n.a.
AGO_COL,0.000,1.137
AGO_COM,0.000,0.661
AGO_CPV,0.000,0.641
AGO_CRI,0.000,0.817
AGO_CUB,0.000,0.786
AGO_CYM,0.000,0.734
AGO_CYP,0.000,0.761
AGO_CZE,0.000,0.995
AGO_DEU,0.000,0.923
AGO_DJI,0.000,0.852
AGO_DMA,0.000,0.698
AGO_DNK,0.000,0.760
AGO_DOM,0.000,0.748
AGO_DZA,0.000,0.932
AGO_ECU,0.000,0.937
AGO_EGY,0.000,0.903
AGO_ERI,0.000,0.985
AGO_ESP,0.000,0.983
AGO_EST,0.000,0.780
AGO_ETH,0.000,1.128
AGO_FIN,0.000,0.813
AGO_FJI,0.000,0.891
AGO_FLK,0.000,n.a.
AGO_FRA,0.000,1.038
AGO_FRO,0.000,0.724
AGO_FSM,0.000,0.845
AGO_GAB,0.000,0.653
AGO_GBR,0.000,0.806
AGO_GEO,0.000,0.941
AGO_GHA,0.000,0.667
AGO_GIB,0.000,0.678
AGO_GIN,0.000,0.682
AGO_GLP,0.000,n.a.
AGO_GMB,0.000,0.627
AGO_GNB,0.000,0.657
AGO_GNQ,0.000,0.605
AGO_GRC,0.000,0.790
AGO_GRD,0.000,0.695
AGO_GRL,0.000,0.803
AGO_GTM,0.000,0.878
AGO_GUF,0.000,n.a.
AGO_GUM,0.000,0.846
AGO_GUY,0.000,0.761
AGO_HKG,0.000,0.822
AGO_HND,0.000,0.888
AGO_HRV,0.000,0.861
AGO_HTI,0.000,0.741
AGO_HUN,0.000,0.976
AGO_IDN,0.000,0.870
AGO_IND,0.000,1.315
AGO_IRL,0.000,0.749
